workflow,field_group,correct,total,errors,accuracy
w19_frequency_rules_conservative_pilot,access,85,100,15,0.850
w19_frequency_rules_conservative_pilot,temporal_horizon,200,200,0,1.000
w19_frequency_rules_conservative_pilot,temporal_frequency,96,100,4,0.960
w19_frequency_rules_conservative_pilot,graph_nodes,169,200,31,0.845
w19_frequency_rules_conservative_pilot,meta,64,100,36,0.640
w10_guideline_fewshot_gemma3_12b,bibliographic,76,100,24,0.760
w10_guideline_fewshot_gemma3_12b,task_dataset,130,200,70,0.650
w10_guideline_fewshot_gemma3_12b,access,80,100,20,0.800
w10_guideline_fewshot_gemma3_12b,temporal_horizon,130,200,70,0.650
w10_guideline_fewshot_gemma3_12b,temporal_frequency,73,100,27,0.730
w10_guideline_fewshot_gemma3_12b,graph_nodes,116,200,84,0.580
w10_guideline_fewshot_gemma3_12b,meta,62,100,38,0.620
w10_schema_v4_access_gemma3_12b,bibliographic,76,100,24,0.760
w10_schema_v4_access_gemma3_12b,task_dataset,130,200,70,0.650
w10_schema_v4_access_gemma3_12b,access,82,100,18,0.820
w10_schema_v4_access_gemma3_12b,temporal_horizon,130,200,70,0.650
w10_schema_v4_access_gemma3_12b,temporal_frequency,73,100,27,0.730
w10_schema_v4_access_gemma3_12b,graph_nodes,116,200,84,0.580
w10_schema_v4_access_gemma3_12b,meta,62,100,38,0.620
w10_guideline_fewshot_mistral_nemo_12b,bibliographic,76,100,24,0.760
w10_guideline_fewshot_mistral_nemo_12b,task_dataset,120,200,80,0.600
w10_guideline_fewshot_mistral_nemo_12b,access,60,100,40,0.600
w10_guideline_fewshot_mistral_nemo_12b,temporal_horizon,94,200,106,0.470
w10_guideline_fewshot_mistral_nemo_12b,temporal_frequency,67,100,33,0.670
w10_guideline_fewshot_mistral_nemo_12b,graph_nodes,112,200,88,0.560
w10_guideline_fewshot_mistral_nemo_12b,meta,64,100,36,0.640
w10_schema_v4_access_mistral_nemo_12b,bibliographic,76,100,24,0.760
w10_schema_v4_access_mistral_nemo_12b,task_dataset,120,200,80,0.600
w10_schema_v4_access_mistral_nemo_12b,access,72,100,28,0.720
w10_schema_v4_access_mistral_nemo_12b,temporal_horizon,94,200,106,0.470
w10_schema_v4_access_mistral_nemo_12b,temporal_frequency,67,100,33,0.670
w10_schema_v4_access_mistral_nemo_12b,graph_nodes,112,200,88,0.560
w10_schema_v4_access_mistral_nemo_12b,meta,64,100,36,0.640
w10_guideline_fewshot_llama3_1_8b,bibliographic,73,100,27,0.730
w10_guideline_fewshot_llama3_1_8b,task_dataset,131,200,69,0.655
w10_guideline_fewshot_llama3_1_8b,access,66,100,34,0.660
w10_guideline_fewshot_llama3_1_8b,temporal_horizon,136,200,64,0.680
w10_guideline_fewshot_llama3_1_8b,temporal_frequency,74,100,26,0.740
w10_guideline_fewshot_llama3_1_8b,graph_nodes,129,200,71,0.645
w10_guideline_fewshot_llama3_1_8b,meta,66,100,34,0.660
w10_schema_v4_access_llama3_1_8b,bibliographic,73,100,27,0.730
w10_schema_v4_access_llama3_1_8b,task_dataset,131,200,69,0.655
w10_schema_v4_access_llama3_1_8b,access,74,100,26,0.740
w10_schema_v4_access_llama3_1_8b,temporal_horizon,136,200,64,0.680
w10_schema_v4_access_llama3_1_8b,temporal_frequency,74,100,26,0.740
w10_schema_v4_access_llama3_1_8b,graph_nodes,129,200,71,0.645
w10_schema_v4_access_llama3_1_8b,meta,66,100,34,0.660
